pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
100,mirror,regen,390.7791,265.7636,94.2364,-675.0,-50.0,False,dense_cartesian
101,mirror,motoring,376.3863,-85.6013,85.6013,-650.0,50.0,False,dense_cartesian
101,mirror,regen,376.3863,265.6013,94.3987,-650.0,-50.0,False,dense_cartesian
102,mirror,motoring,361.9968,-85.4261,85.4261,-625.0,50.0,False,dense_cartesian
102,mirror,regen,361.9968,265.4261,94.5739,-625.0,-50.0,False,dense_cartesian
103,mirror,motoring,347.6109,-85.2364,85.2364,-600.0,50.0,False,dense_cartesian
103,mirror,regen,347.6109,265.2364,94.7636,-600.0,-50.0,False,dense_cartesian
104,mirror,motoring,333.2292,-85.0303,85.0303,-575.0,50.0,False,dense_cartesian
104,mirror,regen,333.2292,265.0303,94.9697,-575.0,-50.0,False,dense_cartesian
105,mirror,motoring,318.8521,-84.8056,84.8056,-550.0,50.0,False,dense_cartesian
105,mirror,regen,318.8521,264.8056,95.1944,-550.0,-50.0,False,dense_cartesian
106,mirror,motoring,304.4804,-84.5597,84.5597,-525.0,50.0,False,dense_cartesian
106,mirror,regen,304.4804,264.5597,95.4403,-525.0,-50.0,False,dense_cartesian
107,mirror,motoring,290.1149,-84.2894,84.2894,-500.0,50.0,False,dense_cartesian
107,mirror,regen,290.1149,264.2894,95.7106,-500.0,-50.0,False,dense_cartesian
108,mirror,motoring,275.7565,-83.991,83.991,-475.0,50.0,False,dense_cartesian
108,mirror,regen,275.7565,263.991,96.009,-475.0,-50.0,False,dense_cartesian
109,mirror,motoring,261.4065,-83.6598,83.6598,-450.0,50.0,False,dense_cartesian
109,mirror,regen,261.4065,263.6598,96.3402,-450.0,-50.0,False,dense_cartesian
110,mirror,motoring,247.0661,-83.2902,83.2902,-425.0,50.0,False,dense_cartesian
110,mirror,regen,247.0661,263.2902,96.7098,-425.0,-50.0,False,dense_cartesian
111,mirror,motoring,232.7373,-82.875,82.875,-400.0,50.0,False,dense_cartesian
111,mirror,regen,232.7373,262.875,97.125,-400.0,-50.0,False,dense_cartesian
112,mirror,motoring,218.4224,-82.4054,82.4054,-375.0,50.0,False,dense_cartesian
112,mirror,regen,218.4224,262.4054,97.5946,-375.0,-50.0,False,dense_cartesian
113,mirror,motoring,204.1241,-81.8699,81.8699,-350.0,50.0,False,dense_cartesian
113,mirror,regen,204.1241,261.8699,98.1301,-350.0,-50.0,False,dense_cartesian
114,mirror,motoring,189.8464,-81.2538,81.2538,-325.0,50.0,False,dense_cartesian
114,mirror,regen,189.8464,261.2538,98.7462,-325.0,-50.0,False,dense_cartesian
115,mirror,motoring,175.5942,-80.5377,80.5377,-300.0,50.0,False,dense_cartesian
115,mirror,regen,175.5942,260.5377,99.4623,-300.0,-50.0,False,dense_cartesian
116,mirror,motoring,161.3743,-79.6952,79.6952,-275.0,50.0,False,dense_cartesian
116,mirror,regen,161.3743,259.6952,100.3048,-275.0,-50.0,False,dense_cartesian
117,mirror,motoring,147.196,-78.6901,78.6901,-250.0,50.0,False,dense_cartesian
117,mirror,regen,147.196,258.6901,101.3099,-250.0,-50.0,False,dense_cartesian
118,mirror,motoring,133.0727,-77.4712,77.4712,-225.0,50.0,False,dense_cartesian
118,mirror,regen,133.0727,257.4712,102.5288,-225.0,-50.0,False,dense_cartesian
119,mirror,motoring,119.0238,-75.9638,75.9638,-200.0,50.0,False,dense_cartesian
119,mirror,regen,119.0238,255.9638,104.0362,-200.0,-50.0,False,dense_cartesian
120,mirror,motoring,105.0793,-74.0546,74.0546,-175.0,50.0,False,dense_cartesian
120,mirror,regen,105.0793,254.0546,105.9454,-175.0,-50.0,False,dense_cartesian
121,mirror,motoring,91.2871,-71.5651,71.5651,-150.0,50.0,False,dense_cartesian
121,mirror,regen,91.2871,251.5651,108.4349,-150.0,-50.0,False,dense_cartesian
122,mirror,motoring,77.7282,-68.1986,68.1986,-125.0,50.0,False,dense_cartesian
